density,edginess,citations_per_year
622.5842219721719,0.7212315797805786,8.857142857142858
1783.6579951988294,0.5281001329421997,59.7
1768.0115681116206,0.5908179879188538,20.416666666666668
1408.798826177912,0.4871375858783722,1.0
1858.0971019953822,0.5522584915161133,14.25
1485.61542208532,0.4350605905056,11.333333333333334
2020.5561022023405,0.8708896636962891,3.3333333333333335
1733.047097678829,0.9039601683616638,11.833333333333334
1846.2618698454996,0.4849507510662079,6.666666666666667
1121.9454384244161,0.6182481646537781,1.25
1683.1728445524157,0.8896578550338745,2.6666666666666665
1325.643297537348,0.8519734144210815,4.0
1759.0723396874419,0.5878089666366577,21.307692307692307
1861.0916527453858,0.7519593238830566,14.333333333333334
1490.2173325912838,0.5582535266876221,10.833333333333334
1876.2845421372158,0.8879386186599731,7.333333333333333
503.3577907311846,0.6056467294692993,31.8
1638.3934375262857,0.9718188047409058,31.294117647058822
959.4062617204262,0.5333754420280457,56.8
1213.2048812165924,0.6298883557319641,11.692307692307692
1566.603228540336,0.5330544114112854,4.0
857.7122087026399,0.5624720454216003,16.083333333333332
1856.6051429002468,0.4992595911026001,2.0
1703.5209591193502,0.7768500447273254,0.0
1684.2842226758344,0.7892535328865051,5.166666666666667
1557.7271684466268,0.4975954592227936,1.1666666666666667
1035.6871190708646,0.769469678401947,17.846153846153847
1256.5869233068734,0.6465372443199158,3.142857142857143
1380.998884903236,0.7575263977050781,63.61538461538461
1589.4747092108819,0.608711838722229,7.0
1523.673993010558,0.5317975878715515,12.181818181818182
1504.2838428352902,0.8071975111961365,28.857142857142858
1453.122624775591,0.8457151055335999,5.416666666666667
1994.1916328282193,0.8251433968544006,6.25
1336.626624669196,0.8468599319458008,5.846153846153846
1294.2499895283981,0.6634829044342041,7.666666666666667
1711.6358934174746,0.525922417640686,20.8
1358.269483824413,0.5179815888404846,2.6363636363636362
442.06071397620326,0.8786883354187012,57.84615384615385
1402.9758981931525,0.5969008207321167,2.5
1990.508882916287,0.40135660767555237,8.25
1533.6546638677405,0.47390052676200867,4.125
1907.8212364552544,0.4516719579696655,4.363636363636363
1671.091089164769,0.5237459540367126,6.0
1530.306052317447,0.74974125623703,5.0
1211.1313536237212,0.8169889450073242,2.6923076923076925
1626.2419887330295,0.7701475620269775,29.25
1783.6579951988294,0.5212571024894714,17.0
1550.7339083729528,0.6687288284301758,20.833333333333332
1687.6314907754224,0.5343167185783386,15.1
1393.429466423569,0.7444429993629456,22.130434782608695
2028.282978562137,0.5531255006790161,4.0
1624.2429258151176,0.6824132204055786,3.909090909090909
776.2263807830549,0.9817013740539551,3.6
1490.2173325912838,0.7183851003646851,2.7
1030.2974640156276,0.6127271056175232,11.0
1752.769579034186,0.6369515657424927,27.545454545454547
1773.1810805298694,0.5369588136672974,11.7
1333.303002709699,0.5113758444786072,5.0
1961.7634976750985,0.4157170355319977,12.428571428571429
1729.4227261768444,0.5731695890426636,17.375
1574.7228823184496,0.6042436361312866,18.2
1674.3602890174482,0.7283262610435486,83.66666666666667
1667.840945399248,0.40554279088974,5.357142857142857
1791.638676079481,0.49576830863952637,2.0
426.72273312874995,0.5735452175140381,9.2
1895.0167281172987,0.6647017598152161,3.75
1334.9617076761272,0.5426037907600403,7.2
1175.914780984889,0.6991589665412903,9.5
1871.6876632836581,0.7967177629470825,1.2
1429.4247905914178,0.680738627910614,27.5
1299.838592108225,0.6413009762763977,28.321428571428573
1112.2088171769853,0.7673506736755371,6.75
1472.804827613226,0.6200208067893982,0.75
1909.4399723295812,0.5509322881698608,5.5
1920.8886586090848,0.48196423053741455,5.4
1257.5119478452098,0.6260543465614319,27.647058823529413
1906.2063003593748,0.48337629437446594,5.25
1731.8364142043924,0.8259229063987732,7.333333333333333
1730.6282927644984,0.85100919008255,3.75
1357.1040461993964,0.7444465160369873,5.555555555555555
1870.1628146970227,0.49772709608078003,2.1666666666666665
1779.707531535145,0.39004945755004883,7.0625
1556.8478705185685,0.7213586568832397,15.117647058823529
1390.9165160368714,0.7002239227294922,27.894736842105264
1532.815454038027,0.43447327613830566,2.111111111111111
1999.7542988642751,0.3675020933151245,8.714285714285714
1095.9161111292915,0.542006254196167,83.88888888888889
1384.0752936247864,0.5650785565376282,2.6
1553.3453585000102,0.6528162360191345,20.5
1912.6901706682609,0.6633291840553284,11.571428571428571
1778.3963756875423,0.33676400780677795,7.0
1583.8942710255499,0.45613572001457214,13.333333333333334
1033.3669501349732,0.46959245204925537,11.428571428571429
1778.3963756875423,0.48166099190711975,66.44444444444444
